ID,Name,Order Date,Receive Date,Brand,Category,Supplier,Amount,Downpayment,Discount,Balance,Fully Paid,Barcode,Image Path
1,Marvel Comics - Domino Bishoujo,2020-05-22,,,Marvel,Play Giant,5200,1000,0,0,YES,,
2,Marvel Captain America ArtFX Premier Statue,2020-05-22,,ArtFx,Marvel,Play Giant,7150,1000,0,0,YES,,
3,Marvel Thor Odinson ArtFx Premier Statue,2020-05-22,,ArtFx,Marvel,Play Giant,7600,1000,0,0,YES,,
4,Star Wars: The rise of Skywalker Sith Trooper Statue Two Pack,2020-05-22,,,Star Wars,Play Giant,6900,1000,0,0,YES,,
5,Marvel Legend Fantastic Four Super Skrull BAF Set of 6 Figures,2020-05-22,,,Marvel,Play Giant,8400,2000,0,0,YES,,
6,Marvel Select Avengers: Endgame Hulk,2020-05-22,,Marvel Select,Marvel,Play Giant,1700,500,0,0,YES,,
7,Marvel legends Series x-men 3 pack cyclops jean grey wolverine,2020-05-27,,,Marvel,Play Giant,4500,0,0,0,YES,,
8,Avengers: Endgame Select Iron man 85,2020-05-27,,,Marvel,Play Giant,1900,0,0,0,YES,,
9,Marvel Select Avengers: Endgame Hulk,2020-05-27,,Marvel Select,Marvel,Play Giant,2000,0,0,0,YES,,
